nro;altitude;country;county;latitude;localname;abs(longitude);municipality;res_org;treespecies
166444;290;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.58;Vindeln;SLU;,Pinus sylvestris,
166446;320;Sweden;Västerbottens län;64.23;Svartbergets FP;19.87;Vindeln;SLU;,Pinus sylvestris,
166454;295;Sweden;Västerbottens län;64.15;Kulbäckslidens FP ;19.59;Vindeln;SLU;,Pinus sylvestris,
166458;400;Sweden;Norrbottens län;66.15;Kåbdalis;20.14;Jokkmokk;SLU;,Pinus sylvestris,
166461;290;Sweden;Norrbottens län;67.06;Ätnarova FP;20.3;Gällivare;SLU;,Pinus sylvestris,Betula,
166462;300;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.58;Vindeln;SLU;,Pinus sylvestris,
166463;300;Sweden;Västerbottens län;0;Kulbäckslidens FP ;0;Vindeln;SLU;,Picea abies,Pinus sylvestris,
166466;285;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.58;Vindeln;SLU;,Pinus sylvestris,
166467;280;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.58;Vindeln;SLU;,Pinus sylvestris,
166468;270;Sweden;Västerbottens län;64.14;Kulbäckslidens FP ;19.61;Vindeln;SLU;,Pinus sylvestris,
166469;280;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.58;Vindeln;SLU;,Pinus sylvestris,
166470;180;Sweden;Västerbottens län;64.23;Svartbergets FP;19.8;Vindeln;SLU;,Pinus sylvestris,
166471;260;Sweden;Västerbottens län;64.26;Svartbergets FP;19.79;Vindeln;SLU;,Pinus sylvestris,
166474;185;Sweden;Gävleborgs län;60.81;Jädraås FP;16.51;Ockelbo;SLU;,Pinus sylvestris,Picea abies,
166475;249;Sweden;Dalarnas län;60.88;Siljansfors FP;14.38;Mora;SLU;,Pinus sylvestris,Picea abies,
166476;;Sweden;Västerbottens län;0;Svartbergets FP;0;Vindeln;SLU;,Pinus sylvestris,Picea abies,
166477;;Sweden;Norrbottens län;0;Ätnarova FP;0;Gällivare;SLU;,Pinus sylvestris,Picea abies,
166482;220;Sweden;Kronobergs län;57.15;Asa FP;14.77;Växjö;SLU;,Acer platanoides,Alnus glutinosa,Alnus incana,Betula pendula,Betula pubescens,Carpinus betulus,Fagus sylvatica,Fraxinus excelsior,Malus silvestris,Picea abies,Pinus sylvestris,Populus tremula,Prunus avium,Prunus padus,Quercus robur,Salix caprea,Sorbus aucuparia,Sorbus intermedia,Tilia cordata,Ulmus glabra,
166488;160;Sweden;Norrbottens län;66.87;Ruttirova;21.94;Gällivare;SLU;,Pinus sylvestris,
166507;220;Sweden;Kronobergs län;57.06;Mon;14.39;Alvesta;SLU;,Pinus sylvestris,Picea abies,
166508;50;Sweden;Södermanlands län;58.95;Ekenäs;16.56;Flen;SLU;,Pinus sylvestris,
166531;;Sweden;Hallands län;56.7;Tönnersjöheden;13.13;Halmstad;SLU;,Quercus robur,Betula pendula,Picea abies,Pinus sylvestris,
166550;;Sweden;Hallands län;56.7;Eriksköp;13.13;Halmstad;SLU;,Populus tremula,Betula pendula,Picea abies,Fagus sylvatica,Quercus robur,Pinus sylvestris,
